Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:10,26-Mar-2025 17:23:10,32.91514,-122.12518,083.3 080.0,083.3,080.0,2.000,2.014,,14.1993,,14.2783,,14.2388,33.2398,,33.2392,33.2344,,33.2317,33.2355,6.0913,,6.3199,6.3897,5.8393,,6.2142,6.3035,6.3466,265.458,275.8900,280.7631,254.483,293.6167,276.3095,278.5363,0.0940,,0.4255,0.5137,0.5726,,9.1921,1.339,24.7856,,24.7649,,,,,,,0.0000E+00,,3.4467E+00,,14.1990,14.2779,-0.0034,315.236,104.167,100.012,2,14.088,33.0484,6.111,266.35,0.319,0.167,0.64,0.039,0.05,0.36,2.07
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:32,26-Mar-2025 17:23:32,32.91527,-122.12505,083.3 080.0,083.3,080.0,3.000,3.021,,14.3403,,14.3472,,14.3438,33.2366,,33.2360,33.2345,,33.2318,33.2339,5.9896,,6.2169,6.2855,5.8083,,6.1819,6.2706,6.2781,261.035,271.4033,276.1919,253.133,288.9344,274.8713,275.5316,0.0905,,0.3985,0.4879,0.6809,,9.1921,2.619,24.7537,,24.7505,,,,,,,0.0000E+00,,2.8775E+00,,14.3399,14.3468,0.0042,318.311,102.716,99.619,,,,,,,,,,,,
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:40,26-Mar-2025 17:23:40,32.91530,-122.12503,083.3 080.0,083.3,080.0,4.000,4.028,,14.3333,,14.3292,,14.3313,33.2372,,33.2366,33.2357,,33.2330,33.2348,5.8844,,6.1103,6.1777,5.8148,,6.1887,6.2775,6.2276,256.449,266.7513,271.4522,253.417,284.0795,275.1739,273.3131,0.0921,,0.4108,0.4998,0.6605,,9.1921,2.378,24.7556,,24.7553,,,,,,,0.0000E+00,,2.5241E+00,,14.3328,14.3286,0.0084,318.160,100.898,99.696,,,,,,,,,,,,
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:41,26-Mar-2025 17:23:41,32.91531,-122.12502,083.3 080.0,083.3,080.0,5.000,5.036,,14.3169,,14.3117,,14.3143,33.2374,,33.2368,33.2362,,33.2335,33.2352,5.9504,,6.1772,6.2454,5.8154,,6.1893,6.2781,6.2618,259.325,269.6687,274.4246,253.442,287.1241,275.2005,274.8126,0.0924,,0.4131,0.5020,0.6584,,9.1921,2.353,24.7592,,24.7594,,,,,,,0.0000E+00,,2.2626E+00,,14.3162,14.3110,0.0113,317.842,101.996,99.671,,,,,,,,,,,,
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:43,26-Mar-2025 17:23:43,32.91532,-122.12501,083.3 080.0,083.3,080.0,6.000,6.043,,14.3304,,14.3545,,14.3425,33.2382,,33.2376,33.2354,,33.2327,33.2352,5.9737,,6.2008,6.2692,5.7959,,6.1690,6.2575,6.2634,260.341,270.6993,275.4746,252.595,288.1997,274.2982,274.8864,0.0896,,0.3916,0.4812,0.6570,,9.1921,2.337,24.7570,,24.7498,,,,,,,0.0000E+00,,1.9339E+00,,14.3295,14.3537,0.0145,318.079,102.424,99.422,,,,,,,,,,,,
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:45,26-Mar-2025 17:23:45,32.91533,-122.12499,083.3 080.0,083.3,080.0,7.000,7.050,,14.3360,,14.3445,,14.3403,33.2362,,33.2356,33.2356,,33.2329,33.2343,6.0008,,6.2282,6.2970,5.8133,,6.1871,6.2759,6.2865,261.521,271.8963,276.6942,253.353,289.4489,275.1057,275.9000,0.0884,,0.3825,0.4722,0.6571,,9.1921,2.338,24.7544,,24.7521,,,,,,,0.0000E+00,,1.7331E+00,,14.3350,14.3435,0.0177,318.361,102.898,99.701,,,,,,,,,,,,
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:48,26-Mar-2025 17:23:48,32.91534,-122.12498,083.3 080.0,083.3,080.0,8.000,8.057,,14.2883,,14.3052,,14.2968,33.2386,,33.2380,33.2363,,33.2336,33.2358,6.0060,,6.2335,6.3023,5.8072,,6.1808,6.2694,6.2859,261.745,272.1235,276.9257,253.084,289.6860,274.8191,275.8724,0.0944,,0.4287,0.5167,0.6576,,9.1921,2.344,24.7663,,24.7609,,,,,,,0.0000E+00,,1.5756E+00,,14.2871,14.3041,0.0209,317.253,102.890,99.517,,,,,,,,,,,,
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:50,26-Mar-2025 17:23:50,32.91536,-122.12498,083.3 080.0,083.3,080.0,9.000,9.064,,14.2899,,14.2808,,14.2854,33.2369,,33.2363,33.2368,,33.2341,33.2352,5.9837,,6.2109,6.2795,5.8103,,6.1840,6.2727,6.2761,260.773,271.1375,275.9211,253.218,288.6570,274.9619,275.4415,0.0954,,0.4365,0.5239,0.6578,,9.1921,2.346,24.7646,,24.7665,,,,,,,0.0000E+00,,1.4958E+00,,14.2886,14.2795,0.0241,317.440,102.510,99.522,,,,,,,,,,,,
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:52,26-Mar-2025 17:23:52,32.91536,-122.12496,083.3 080.0,083.3,080.0,10.000,10.071,,14.2519,,14.2352,,14.2436,33.2376,,33.2370,33.2383,,33.2356,33.2363,5.9766,,6.2037,6.2722,5.8206,,6.1947,6.2836,6.2779,260.464,270.8241,275.6018,253.664,288.3299,275.4370,275.5194,0.0931,,0.4185,0.5072,0.6578,,9.1921,2.346,24.7732,,24.7772,,,,,,,0.0000E+00,,1.3574E+00,,14.2504,14.2338,0.0273,316.655,102.311,99.607,,,,,,,,,,,,
CalCOFI,2504SH,030,,2504_030d,27-Mar-2025 01:23:53,26-Mar-2025 17:23:53,32.91536,-122.12496,083.3 080.0,083.3,080.0,11.000,11.078,,14.1882,,14.1816,,14.1849,33.2398,,33.2392,33.2408,,33.2381,33.2387,5.9524,,6.1792,6.2474,5.8154,,6.1893,6.2781,6.2628,259.405,269.7498,274.5073,253.435,287.2088,275.1930,274.8502,0.0945,,0.4295,0.5174,0.6580,,9.1921,2.349,24.7883,,24.7904,,,,,,,0.0000E+00,,1.2624E+00,,14.1866,14.1800,0.0305,315.244,101.767,99.412,11,13.753,33.1572,6.256,272.63,0.342,0.161,2.14,0.054,0.18,0.43,2.81
