Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:18,11-Apr-2025 08:20:18,35.63760,-121.26593,073.3 050.0,073.3,050.0,3.000,3.022,,9.6519,,9.6517,,9.6518,33.8749,,33.8743,33.8717,,33.8690,33.8717,3.3738,,3.5673,3.5449,3.3144,,3.5830,3.5457,3.5453,146.836,155.5598,110.1336,144.251,168.0401,111.4964,110.8150,0.0969,,0.4484,0.8053,2.5813,,25.8475,25.866,26.1317,,26.1291,,,,,,,0.0000E+00,,7.1235E+00,,9.6515,9.6514,0.0011,187.240,52.642,51.714,3,9.656,33.8758,3.544,154.24,1.267,0.267,25.50,0.074,0.14,2.00,30.44
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:28,11-Apr-2025 08:20:28,35.63758,-121.26594,073.3 050.0,073.3,050.0,4.000,4.029,,9.6535,,9.6533,,9.6534,33.8751,,33.8745,33.8717,,33.8690,33.8718,3.3837,,3.5773,3.5544,3.3187,,3.5875,3.5499,3.5522,147.269,155.9991,110.0677,144.440,168.4985,111.4875,110.7776,0.0950,,0.4334,0.7614,2.5870,,25.8475,25.931,26.1315,,26.1289,,,,,,,0.0000E+00,,6.2623E+00,,9.6530,9.6529,0.0042,187.277,52.799,51.783,,,,,,,,,,,,
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:30,11-Apr-2025 08:20:30,35.63758,-121.26594,073.3 050.0,073.3,050.0,5.000,5.037,,9.6548,,9.6556,,9.6552,33.8750,,33.8744,33.8716,,33.8689,33.8717,3.3966,,3.5904,3.5667,3.3209,,3.5898,3.5520,3.5594,147.827,156.5651,109.9827,144.535,169.0892,111.4830,110.7329,0.0969,,0.4484,0.8053,2.5847,,25.8475,25.904,26.1313,,26.1285,,,,,,,0.0000E+00,,5.5315E+00,,9.6543,9.6550,0.0059,187.320,53.001,51.820,,,,,,,,,,,,
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:32,11-Apr-2025 08:20:32,35.63756,-121.26594,073.3 050.0,073.3,050.0,6.000,6.044,,9.6551,,9.6529,,9.6540,33.8748,,33.8742,33.8714,,33.8687,33.8715,3.3998,,3.5937,3.5697,3.3039,,3.5721,3.5356,3.5527,147.966,156.7061,109.9615,143.794,169.2364,111.5179,110.7397,0.0899,,0.3939,0.6435,2.5817,,25.8475,25.870,26.1311,,26.1288,,,,,,,0.0000E+00,,4.8797E+00,,9.6544,9.6522,0.0078,187.363,53.051,51.551,,,,,,,,,,,,
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:35,11-Apr-2025 08:20:35,35.63756,-121.26594,073.3 050.0,073.3,050.0,7.000,7.051,,9.6395,,9.6369,,9.6382,33.8745,,33.8739,33.8714,,33.8687,33.8713,3.3889,,3.5826,3.5593,3.2928,,3.5605,3.5248,3.5421,147.494,156.2273,110.0334,143.313,168.7367,111.5406,110.7870,0.0906,,0.3992,0.6597,2.5774,,25.8475,25.821,26.1334,,26.1315,,,,,,,0.0000E+00,,4.4201E+00,,9.6387,9.6361,0.0097,187.158,52.863,51.361,,,,,,,,,,,,
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:38,11-Apr-2025 08:20:38,35.63756,-121.26594,073.3 050.0,073.3,050.0,8.000,8.059,,9.6324,,9.6332,,9.6328,33.8744,,33.8738,33.8714,,33.8687,33.8713,3.3776,,3.5712,3.5486,3.2792,,3.5464,3.5117,3.5302,146.999,155.7252,110.1088,142.718,168.2127,111.5687,110.8388,0.0971,,0.4500,0.8100,2.5769,,25.8475,25.815,26.1346,,26.1321,,,,,,,0.0000E+00,,4.0707E+00,,9.6315,9.6323,0.0116,187.071,52.678,51.144,,,,,,,,,,,,
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:42,11-Apr-2025 08:20:42,35.63755,-121.26594,073.3 050.0,073.3,050.0,9.000,9.066,,9.6280,,9.6257,,9.6269,33.8744,,33.8738,33.8715,,33.8688,33.8713,3.3285,,3.5214,3.5017,3.2293,,3.4944,3.4635,3.4826,144.866,153.5615,110.4337,140.546,165.9547,111.6710,111.0524,0.1075,,0.5359,1.0504,2.5762,,25.8475,25.807,26.1353,,26.1334,,,,,,,0.0000E+00,,3.5425E+00,,9.6269,9.6247,0.0135,187.022,51.908,50.357,,,,,,,,,,,,
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:45,11-Apr-2025 08:20:45,35.63754,-121.26594,073.3 050.0,073.3,050.0,10.000,10.074,,9.6150,,9.6111,,9.6131,33.8752,,33.8746,33.8728,,33.8701,33.8724,3.2434,,3.4352,3.4204,3.1631,,3.4254,3.3995,3.4100,141.158,149.8001,110.9984,137.665,162.0293,111.8068,111.4026,0.1101,,0.5583,1.1105,2.5764,,25.8475,25.810,26.1381,,26.1369,,,,,,,0.0000E+00,,3.3002E+00,,9.6139,9.6100,0.0154,186.783,50.566,49.310,10,9.651,33.8746,, ,,,,,,,
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:48,11-Apr-2025 08:20:48,35.63754,-121.26596,073.3 050.0,073.3,050.0,11.000,11.081,,9.6014,,9.5992,,9.6003,33.8765,,33.8759,33.8745,,33.8718,33.8739,3.2186,,3.4101,3.3968,3.1659,,3.4283,3.4023,3.3996,140.080,148.7066,111.1626,137.786,160.8881,111.8011,111.4819,0.1162,,0.6121,1.2515,2.5754,,25.8475,25.798,26.1414,,26.1402,,,,,,,0.0000E+00,,2.9619E+00,,9.6002,9.5980,0.0172,186.490,50.165,49.341,11,9.644,33.8752,3.372,146.76,1.339,0.254,25.78,0.074,0.16,2.04,30.95
CalCOFI,2504SH,082,,2504_082d,11-Apr-2025 16:20:51,11-Apr-2025 08:20:51,35.63754,-121.26594,073.3 050.0,073.3,050.0,12.000,12.088,,9.6025,,9.6014,,9.6020,33.8770,,33.8764,33.8742,,33.8715,33.8740,3.1632,,3.3540,3.3439,3.0932,,3.3525,3.3320,3.3380,137.672,146.2639,111.5294,134.625,158.3389,111.9501,111.7398,0.1170,,0.6193,1.2700,2.5706,,25.8475,25.744,26.1416,,26.1396,,,,,,,0.0000E+00,,2.6531E+00,,9.6011,9.6001,0.0191,186.488,49.304,48.211,,,,,,,,,,,,
