Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:35,3/26/2025 22:35,33.24698,-121.43517,083.3 070.0,083.3,070.0,516,520.328,,5.7424,,5.7333,,5.7379,34.2776,,34.277,34.2852,,34.2825,34.2798,0.2934,,0.4472,0.4144,0.2802,,0.4211,0.4061,0.4103,12.76,19.5531,18.6069,12.185,26.1036,18.1459,18.3764,0.0347,,,,,,,,27.0195,,27.0266,,,,,,,0.0000E+00,,4.0538E-02,,5.698,5.6891,0.8912,109.929,4.201,4.012,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:35,3/26/2025 22:35,33.24698,-121.43516,083.3 070.0,083.3,070.0,515,519.318,,5.8138,,5.8487,,5.8313,34.2822,,34.2816,34.2852,,34.2825,34.2821,0.2977,,0.4515,0.4187,0.2793,,0.4202,0.4051,0.4119,12.944,19.7398,18.7936,12.148,26.2983,18.1073,18.4505,0.0363,,,,,,,,27.0143,,27.0124,,,,,,,0.0000E+00,,3.0733E-02,,5.7693,5.804,0.8912,110.492,4.269,4.01,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:35,3/26/2025 22:35,33.24702,-121.43508,083.3 070.0,083.3,070.0,514,518.309,,5.7904,,5.7882,,5.7893,34.2815,,34.2809,34.2804,,34.2777,34.2793,0.2897,,0.4434,0.4106,0.2783,,0.4191,0.4041,0.4074,12.595,19.3858,18.4396,12.1,25.9289,18.0572,18.2484,0.036,,,,,,,,27.0167,,27.016,,,,,,,0.0000E+00,,2.9059E-02,,5.746,5.7438,0.892,110.227,4.152,3.989,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:36,3/26/2025 22:36,33.24705,-121.43498,083.3 070.0,083.3,070.0,513,517.299,,5.8481,,5.8498,,5.849,34.2894,,34.2888,34.2872,,34.2845,34.2867,0.2854,,0.4391,0.4063,0.2728,,0.4134,0.3983,0.4023,12.411,19.1991,18.253,11.862,25.7341,17.8088,18.0309,0.0358,,,,,,,,27.0157,,27.0138,,,,,,,0.0000E+00,,3.0574E-02,,5.8036,5.8053,0.8935,110.374,4.097,3.916,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:36,3/26/2025 22:36,33.2471,-121.43481,083.3 070.0,083.3,070.0,512,516.289,,5.9529,,5.9534,,5.9532,34.3003,,34.2997,34.2972,,34.2945,34.2971,0.2775,,0.4311,0.3982,0.2655,,0.4058,0.3907,0.3945,12.069,18.8522,17.9061,11.547,25.372,17.48,17.6931,0.0364,,,,,,,,27.0114,,27.0088,,,,,,,0.0000E+00,,2.4699E-02,,5.9081,5.9086,0.8958,110.905,3.994,3.821,512,5.953,34.2951,0.388,16.87,,,40.2,0.007,0,3.11,81.72
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:36,3/26/2025 22:36,33.24711,-121.43469,083.3 070.0,083.3,070.0,511,515.28,,5.9451,,5.9444,,5.9448,34.2975,,34.2969,34.2955,,34.2928,34.2949,0.2787,,0.4323,0.3995,0.2675,,0.4079,0.3928,0.3962,12.119,18.9029,17.9568,11.631,25.425,17.5677,17.7623,0.0361,,,,,,,,27.0101,,27.0086,,,,,,,0.0000E+00,,2.5021E-02,,5.9004,5.8997,0.897,110.999,4.01,3.848,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:36,3/26/2025 22:36,33.24714,-121.43462,083.3 070.0,083.3,070.0,510,514.27,,5.9423,,5.9421,,5.9422,34.2955,,34.2949,34.2939,,34.2912,34.2931,0.2875,,0.4412,0.4084,0.2703,,0.4108,0.3957,0.4021,12.502,19.2914,18.3453,11.756,25.8304,17.6981,18.0217,0.0361,,,,,,,,27.0088,,27.0076,,,,,,,0.0000E+00,,2.4451E-02,,5.8978,5.8975,0.8977,111.1,4.136,3.889,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:37,3/26/2025 22:37,33.24714,-121.43462,083.3 070.0,083.3,070.0,509,513.261,,5.9431,,5.9497,,5.9464,34.2955,,34.2949,34.2942,,34.2915,34.2932,0.289,,0.4427,0.4099,0.2753,,0.416,0.4009,0.4054,12.567,19.3574,18.4112,11.974,25.8992,17.9257,18.1685,0.0366,,,,,,,,27.0087,,27.0069,,,,,,,0.0000E+00,,2.5055E-02,,5.8986,5.9052,0.8977,111.098,4.158,3.962,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:37,3/26/2025 22:37,33.24714,-121.4346,083.3 070.0,083.3,070.0,508,512.251,,5.9656,,5.9636,,5.9646,34.2941,,34.2935,34.2923,,34.2896,34.2916,0.2834,,0.4371,0.4042,0.2807,,0.4216,0.4066,0.4054,12.324,19.1109,18.1647,12.208,25.642,18.17,18.1674,0.0357,,,,,,,,27.0048,,27.0036,,,,,,,0.0000E+00,,2.3479E-02,,5.9211,5.9191,0.8977,111.484,4.079,4.041,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:37,3/26/2025 22:37,33.24714,-121.4346,083.3 070.0,083.3,070.0,507,511.241,,5.9727,,5.9717,,5.9722,34.2924,,34.2918,34.2904,,34.2877,34.2898,0.2879,,0.4416,0.4088,0.2765,,0.4172,0.4022,0.4055,12.52,19.3097,18.3635,12.022,25.8495,17.9758,18.1697,0.0359,,,,,,,,27.0025,,27.0011,,,,,,,0.0000E+00,,2.5967E-02,,5.9283,5.9272,0.8977,111.687,4.145,3.98,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:37,3/26/2025 22:37,33.24714,-121.43458,083.3 070.0,083.3,070.0,506,510.232,,5.9774,,5.9765,,5.977,34.2897,,34.2891,34.2876,,34.2849,34.287,0.2974,,0.4512,0.4184,0.283,,0.424,0.409,0.4137,12.934,19.7296,18.7834,12.305,26.2878,18.2712,18.5273,0.0366,,,,,,,,26.9998,,26.9983,,,,,,,0.0000E+00,,1.9315E-02,,5.933,5.9322,0.8977,111.938,4.282,4.074,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:37,3/26/2025 22:37,33.24714,-121.43458,083.3 070.0,083.3,070.0,505,509.222,,5.9781,,5.9783,,5.9782,34.2891,,34.2885,34.2867,,34.284,34.2863,0.2895,,0.4432,0.4104,0.2804,,0.4213,0.4063,0.4084,12.591,19.3817,18.4355,12.192,25.9247,18.1533,18.2944,0.0366,,,,,,,,26.9993,,26.9973,,,,,,,0.0000E+00,,2.0248E-02,,5.9338,5.934,0.8977,111.972,4.169,4.037,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:37,3/26/2025 22:37,33.24714,-121.43458,083.3 070.0,083.3,070.0,504,508.213,,5.9803,,5.981,,5.9807,34.2891,,34.2885,34.2868,,34.2841,34.2863,0.2883,,0.442,0.4092,0.2784,,0.4192,0.4042,0.4067,12.537,19.3269,18.3807,12.104,25.8675,18.0614,18.2211,0.0357,,,,,,,,26.9989,,26.997,,,,,,,0.0000E+00,,2.3451E-02,,5.9361,5.9368,0.8977,111.994,4.151,4.008,,,,,,,,,,,,
CalCOFI,2504SH,031,,2504_031u,3/27/2025 6:37,3/26/2025 22:37,33.24714,-121.43456,083.3 070.0,083.3,070.0,503,507.203,,5.9847,,5.9849,,5.9848,34.2891,,34.2885,34.2869,,34.2842,34.2864,0.2977,,0.4515,0.4187,0.2795,,0.4204,0.4053,0.412,12.947,19.7428,18.7966,12.154,26.3015,18.1136,18.4551,0.0354,,,,,,,,26.9984,,26.9966,,,,,,,0.0000E+00,,2.4602E-02,,5.9406,5.9408,0.8977,112.036,4.288,4.025,,,,,,,,,,,,
