Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:53:28,31-Mar-2025 23:53:28,32.64911,-119.48245,090.0 053.0,090.0,053.0,4.000,4.028,,13.0960,,13.0955,,13.0958,33.3744,,33.3738,33.3720,,33.3693,33.3716,5.8947,,6.1207,5.9317,5.7859,,6.1586,5.9568,5.9443,256.807,267.1144,256.9891,252.068,284.4585,257.5486,257.2689,0.2962,,3.0765,1.3943,1.0507,,6.1171,7.850,25.1148,,25.1130,,,,,,,0.0000E+00,,4.5400E-02,,13.0954,13.0949,-0.0014,283.958,98.640,96.817,4,13.091,33.3754,6.148,267.84,1.404,0.430,6.18,0.098,0.28,0.58,2.63
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:53:52,31-Mar-2025 23:53:52,32.64899,-119.48248,090.0 053.0,090.0,053.0,5.000,5.035,,13.0981,,13.0977,,13.0979,33.3750,,33.3744,33.3722,,33.3695,33.3720,5.8821,,6.1080,5.9195,5.7803,,6.1528,5.9513,5.9354,256.259,266.5585,256.4598,251.823,283.8784,257.3059,256.8829,0.2719,,2.6449,1.3163,1.0397,,6.1171,7.725,25.1148,,25.1127,,,,,,,0.0000E+00,,2.9738E-02,,13.0975,13.0971,0.0039,283.981,98.434,96.727,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:53:51,31-Mar-2025 23:53:51,32.64899,-119.48248,090.0 053.0,090.0,053.0,6.000,6.043,,13.1014,,13.1006,,13.1010,33.3751,,33.3745,33.3724,,33.3697,33.3721,5.9067,,6.1329,5.9433,5.7721,,6.1442,5.9431,5.9432,257.331,267.6460,257.4952,251.470,285.0132,256.9564,257.2258,0.2622,,2.4812,1.2823,1.0455,,6.1171,7.791,25.1143,,25.1124,,,,,,,0.0000E+00,,1.8445E-02,,13.1005,13.0998,0.0064,284.057,98.852,96.597,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:53:54,31-Mar-2025 23:53:54,32.64898,-119.48248,090.0 053.0,090.0,053.0,7.000,7.050,,13.1024,,13.1020,,13.1022,33.3751,,33.3745,33.3724,,33.3697,33.3721,5.9157,,6.1420,5.9520,5.7698,,6.1418,5.9408,5.9464,257.721,268.0416,257.8719,251.365,285.4261,256.8524,257.3622,0.2722,,2.6501,1.3174,1.0464,,6.1171,7.801,25.1142,,25.1121,,,,,,,0.0000E+00,,9.8110E-03,,13.1015,13.1010,0.0093,284.098,99.004,96.560,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:53:57,31-Mar-2025 23:53:57,32.64897,-119.48248,090.0 053.0,090.0,053.0,8.000,8.057,,13.1024,,13.1019,,13.1022,33.3751,,33.3745,33.3725,,33.3698,33.3722,5.9562,,6.1830,5.9912,5.7637,,6.1355,5.9347,5.9630,259.486,269.8320,259.5766,251.100,287.2946,256.5900,258.0833,0.2797,,2.7801,1.3425,1.0468,,6.1171,7.806,25.1142,,25.1122,,,,,,,0.0000E+00,,1.4806E-03,,13.1014,13.1008,0.0122,284.125,99.682,96.458,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:53:59,31-Mar-2025 23:53:59,32.64896,-119.48248,090.0 053.0,090.0,053.0,9.000,9.064,,13.1018,,13.1014,,13.1016,33.3752,,33.3746,33.3724,,33.3697,33.3722,5.9498,,6.1766,5.9850,5.7578,,6.1293,5.9289,5.9570,259.208,269.5500,259.3081,250.843,287.0003,256.3355,257.8218,0.2723,,2.6518,1.3177,1.0455,,6.1171,7.791,25.1144,,25.1123,,,,,,,0.0000E+00,,1.2741E-03,,13.1006,13.1001,0.0150,284.133,99.574,96.358,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:00,31-Mar-2025 23:54:00,32.64894,-119.48248,090.0 053.0,090.0,053.0,10.000,10.071,,13.1015,,13.1011,,13.1013,33.3751,,33.3745,33.3724,,33.3697,33.3721,5.9400,,6.1666,5.9755,5.7582,,6.1297,5.9293,5.9524,258.781,269.1168,258.8957,250.862,286.5482,256.3543,257.6250,0.2750,,2.6983,1.3269,1.0431,,6.1171,7.764,25.1144,,25.1124,,,,,,,0.0000E+00,,2.4758E-04,,13.1001,13.0998,0.0179,284.158,99.410,96.365,10,13.055,33.3869,6.135,267.27,1.485,0.239,6.09,0.098,0.34,0.58,2.56
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:02,31-Mar-2025 23:54:02,32.64894,-119.48248,090.0 053.0,090.0,053.0,11.000,11.078,,13.1005,,13.1010,,13.1008,33.3750,,33.3744,33.3724,,33.3697,33.3721,5.9247,,6.1511,5.9607,5.7617,,6.1334,5.9327,5.9467,258.116,268.4423,258.2534,251.014,285.8443,256.5048,257.3791,0.2706,,2.6227,1.3119,1.0382,,6.1171,7.708,25.1145,,25.1124,,,,,,,0.0000E+00,,2.4680E-06,,13.0990,13.0995,0.0207,284.174,99.152,96.423,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:04,31-Mar-2025 23:54:04,32.64893,-119.48250,090.0 053.0,090.0,053.0,12.000,12.085,,13.0826,,13.0880,,13.0853,33.3737,,33.3731,33.3714,,33.3687,33.3709,5.9129,,6.1392,5.9493,5.7528,,6.1241,5.9239,5.9366,257.599,267.9178,257.7540,250.626,285.2969,256.1206,256.9373,0.2863,,2.8970,1.3638,1.0317,,6.1171,7.634,25.1171,,25.1143,,,,,,,0.0000E+00,,1.6235E-04,,13.0809,13.0863,0.0236,283.954,98.916,96.248,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:06,31-Mar-2025 23:54:06,32.64891,-119.48250,090.0 053.0,090.0,053.0,13.000,13.092,,13.0477,,13.0520,,13.0499,33.3732,,33.3726,33.3714,,33.3687,33.3707,5.8957,,6.1218,5.9326,5.7629,,6.1346,5.9339,5.9333,256.849,267.1570,257.0296,251.063,284.5030,256.5533,256.7915,0.2921,,3.0015,1.3819,1.0273,,6.1171,7.584,25.1237,,25.1214,,,,,,,0.0000E+00,,1.7498E-06,,13.0459,13.0502,0.0265,283.352,98.558,96.345,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:08,31-Mar-2025 23:54:08,32.64890,-119.48250,090.0 053.0,090.0,053.0,14.000,14.099,,13.0250,,13.0255,,13.0253,33.3749,,33.3743,33.3735,,33.3708,33.3726,5.8859,,6.1118,5.9231,5.7632,,6.1349,5.9342,5.9287,256.422,266.7239,256.6172,251.076,284.0509,256.5662,256.5917,0.2865,,2.9005,1.3644,1.0227,,6.1171,7.532,25.1295,,25.1283,,,,,,,0.0000E+00,,2.2860E-04,,13.0231,13.0236,0.0293,282.825,98.349,96.299,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:10,31-Mar-2025 23:54:10,32.64890,-119.48250,090.0 053.0,090.0,053.0,15.000,15.107,,13.0182,,13.0187,,13.0185,33.3758,,33.3752,33.3739,,33.3712,33.3732,5.8709,,6.0966,5.9086,5.7393,,6.1100,5.9104,5.9095,255.769,266.0615,255.9865,250.034,283.3597,255.5344,255.7605,0.2775,,2.7416,1.3352,1.0181,,6.1171,7.479,25.1316,,25.1300,,,,,,,0.0000E+00,,-9.084E-06,,13.0162,13.0167,0.0322,282.653,98.086,95.886,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:11,31-Mar-2025 23:54:11,32.64889,-119.48250,090.0 053.0,090.0,053.0,16.000,16.114,,12.9910,,12.9889,,12.9900,33.3796,,33.3790,33.3790,,33.3763,33.3777,5.8663,,6.0920,5.9042,5.7527,,6.1240,5.9238,5.9140,255.562,265.8515,255.7866,250.614,283.1405,256.1087,255.9477,0.2967,,3.0857,1.3958,1.0163,,6.1171,7.459,25.1399,,25.1399,,,,,,,0.0000E+00,,1.0000E-12,,12.9888,12.9868,0.0350,281.888,97.955,96.054,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:13,31-Mar-2025 23:54:13,32.64888,-119.48250,090.0 053.0,090.0,053.0,17.000,17.121,,12.9747,,12.9741,,12.9744,33.3829,,33.3823,33.3818,,33.3791,33.3807,5.8652,,6.0909,5.9031,5.7419,,6.1127,5.9130,5.9081,255.516,265.8048,255.7421,250.142,283.0918,255.6413,255.6917,0.2905,,2.9725,1.3769,1.0160,,6.1171,7.455,25.1457,,25.1450,,,,,,,0.0000E+00,,1.0000E-12,,12.9724,12.9718,0.0378,281.359,97.906,95.845,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:15,31-Mar-2025 23:54:15,32.64888,-119.48250,090.0 053.0,090.0,053.0,18.000,18.128,,12.9706,,12.9716,,12.9711,33.3836,,33.3830,33.3820,,33.3793,33.3812,5.8692,,6.0949,5.9070,5.7235,,6.0936,5.8947,5.9009,255.687,265.9783,255.9073,249.342,283.2728,254.8491,255.3782,0.2743,,2.6862,1.3245,1.0190,,6.1171,7.489,25.1471,,25.1457,,,,,,,0.0000E+00,,1.0000E-12,,12.9681,12.9692,0.0407,281.258,97.964,95.534,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:17,31-Mar-2025 23:54:17,32.64886,-119.48250,090.0 053.0,090.0,053.0,19.000,19.135,,12.9617,,12.9605,,12.9611,33.3853,,33.3847,33.3839,,33.3812,33.3830,5.8302,,6.0554,5.8692,5.7047,,6.0740,5.8760,5.8726,253.988,264.2548,254.2663,248.520,281.4742,254.0351,254.1507,0.2809,,2.8012,1.3464,1.0253,,6.1171,7.561,25.1502,,25.1494,,,,,,,0.0000E+00,,1.0000E-12,,12.9592,12.9579,0.0435,280.989,97.297,95.199,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:19,31-Mar-2025 23:54:19,32.64885,-119.48250,090.0 053.0,090.0,053.0,20.000,20.142,,12.9163,,12.9236,,12.9200,33.3939,,33.3933,33.3917,,33.3890,33.3912,5.8141,,6.0391,5.8536,5.6920,,6.0607,5.8634,5.8585,253.281,263.5376,253.5834,247.966,280.7258,253.4865,253.5350,0.2599,,2.4432,1.2739,1.0333,,6.1171,7.652,25.1659,,25.1628,,,,,,,0.0000E+00,,1.0000E-12,,12.9136,12.9209,0.0463,279.522,96.942,94.920,20,12.732,33.4374,5.920,257.88,1.096,0.672,6.98,0.103,0.72,0.67,3.39
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:20,31-Mar-2025 23:54:20,32.64884,-119.48250,090.0 053.0,090.0,053.0,21.000,21.150,,12.8943,,12.8961,,12.8952,33.3994,,33.3988,33.3985,,33.3958,33.3973,5.8163,,6.0413,5.8558,5.6780,,6.0461,5.8494,5.8526,253.377,263.6350,253.6761,247.355,280.8274,252.8814,253.2788,0.2658,,2.5414,1.2951,1.0425,,6.1171,7.757,25.1745,,25.1735,,,,,,,0.0000E+00,,1.0000E-12,,12.8914,12.8932,0.0491,278.729,96.938,94.637,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:22,31-Mar-2025 23:54:22,32.64884,-119.48250,090.0 053.0,090.0,053.0,22.000,22.157,,12.8692,,12.8722,,12.8707,33.4050,,33.4044,33.4039,,33.4012,33.4028,5.7916,,6.0163,5.8318,5.6621,,6.0296,5.8336,5.8327,252.299,262.5415,252.6349,246.657,279.6862,252.1902,252.4126,0.2381,,2.0959,1.1902,1.0521,,6.1171,7.866,25.1838,,25.1823,,,,,,,0.0000E+00,,1.0000E-12,,12.8662,12.8693,0.0519,277.869,96.480,94.328,,,,,,,,,,,,
CalCOFI,2504SH,064,,2504_064d,01-Apr-2025 07:54:24,31-Mar-2025 23:54:24,32.64882,-119.48251,090.0 053.0,090.0,053.0,23.000,23.164,,12.8508,,12.8518,,12.8513,33.4091,,33.4085,33.4082,,33.4055,33.4070,5.7501,,5.9743,5.7917,5.6299,,5.9960,5.8015,5.7966,250.489,260.7054,250.8867,245.254,277.7701,250.8009,250.8438,0.2252,,1.9021,1.1367,1.0658,,6.1171,8.022,25.1906,,25.1897,,,,,,,0.0000E+00,,1.0000E-12,,12.8478,12.8487,0.0547,277.251,95.755,93.755,,,,,,,,,,,,
