Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:01,21-Mar-2025 16:34:01,32.18169,-118.89523,093.3 050.0,093.3,050.0,517.000,521.291,,6.0359,,6.0357,,6.0358,34.3248,,34.3242,34.3233,,34.3206,34.3224,0.2064,,0.3591,0.4428,0.2119,,0.3499,0.4327,0.4378,8.973,15.7116,17.6493,9.214,22.0945,17.2452,17.4473,0.0360,,,,3.8503,,0.0000,39.612,27.0203,,27.0192,,,,,,,0.0000E+00,,8.0772E-02,,5.9903,5.9901,0.8516,110.238,2.976,3.056,,,,,,,,,,,,
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:06,21-Mar-2025 16:34:06,32.18168,-118.89523,093.3 050.0,093.3,050.0,516.000,520.282,,6.0360,,6.0360,,6.0360,34.3248,,34.3242,34.3232,,34.3205,34.3224,0.2062,,0.3589,0.4426,0.2133,,0.3514,0.4342,0.4384,8.965,15.7035,17.6412,9.275,22.0861,17.3091,17.4752,0.0363,,,,3.8532,,0.0000,39.647,27.0203,,27.0191,,,,,,,0.0000E+00,,8.1113E-02,,5.9905,5.9905,0.8522,110.222,2.973,3.076,516,6.036,34.3280,0.259,11.26,,,39.83,0.005,0.00,3.07,78.84
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:22,21-Mar-2025 16:34:22,32.18168,-118.89523,093.3 050.0,093.3,050.0,515.000,519.272,,6.0361,,6.0362,,6.0362,34.3245,,34.3239,34.3232,,34.3205,34.3222,0.2061,,0.3588,0.4425,0.2151,,0.3533,0.4361,0.4393,8.964,15.7025,17.6402,9.355,22.0850,17.3929,17.5166,0.0357,,,,3.8490,,0.0000,39.597,27.0201,,27.0190,,,,,,,0.0000E+00,,8.2689E-02,,5.9907,5.9908,0.8539,110.233,2.973,3.103,,,,,,,,,,,,
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:20,21-Mar-2025 16:34:20,32.18168,-118.89522,093.3 050.0,093.3,050.0,514.000,518.262,,6.0361,,6.0363,,6.0362,34.3246,,34.3240,34.3233,,34.3206,34.3223,0.2061,,0.3588,0.4425,0.2075,,0.3453,0.4281,0.4353,8.962,15.7005,17.6382,9.025,22.0829,17.0473,17.3428,0.0354,,,,3.8460,,0.0000,39.561,27.0202,,27.0191,,,,,,,0.0000E+00,,8.4023E-02,,5.9908,5.9909,0.8535,110.210,2.972,2.993,,,,,,,,,,,,
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:21,21-Mar-2025 16:34:21,32.18168,-118.89522,093.3 050.0,093.3,050.0,513.000,517.253,,6.0361,,6.0363,,6.0362,34.3246,,34.3240,34.3233,,34.3206,34.3223,0.2061,,0.3588,0.4425,0.2116,,0.3496,0.4324,0.4375,8.961,15.6994,17.6371,9.202,22.0818,17.2327,17.4349,0.0354,,,,3.8451,,0.0000,39.550,27.0201,,27.0191,,,,,,,0.0000E+00,,8.2032E-02,,5.9909,5.9910,0.8535,110.199,2.972,3.052,,,,,,,,,,,,
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:22,21-Mar-2025 16:34:22,32.18168,-118.89522,093.3 050.0,093.3,050.0,512.000,516.243,,6.0362,,6.0364,,6.0363,34.3246,,34.3240,34.3232,,34.3205,34.3223,0.2060,,0.3587,0.4424,0.2143,,0.3524,0.4352,0.4388,8.960,15.6984,17.6361,9.317,22.0808,17.3531,17.4946,0.0366,,,,3.8446,,0.0000,39.544,27.0201,,27.0189,,,,,,,0.0000E+00,,8.0906E-02,,5.9910,5.9912,0.8535,110.186,2.971,3.090,,,,,,,,,,,,
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:23,21-Mar-2025 16:34:23,32.18168,-118.89522,093.3 050.0,093.3,050.0,511.000,515.234,,6.0359,,6.0360,,6.0360,34.3246,,34.3240,34.3232,,34.3205,34.3223,0.2060,,0.3587,0.4424,0.2132,,0.3513,0.4341,0.4383,8.959,15.6974,17.6351,9.269,22.0797,17.3028,17.4690,0.0366,,,,3.8446,,0.0000,39.544,27.0201,,27.0190,,,,,,,0.0000E+00,,8.0368E-02,,5.9909,5.9909,0.8535,110.175,2.971,3.074,,,,,,,,,,,,
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:24,21-Mar-2025 16:34:24,32.18168,-118.89524,093.3 050.0,093.3,050.0,510.000,514.224,,6.0354,,6.0357,,6.0356,34.3247,,34.3241,34.3232,,34.3205,34.3223,0.2060,,0.3587,0.4424,0.2133,,0.3514,0.4342,0.4383,8.958,15.6964,17.6341,9.275,22.0787,17.3091,17.4716,0.0356,,,,3.8452,,0.0000,39.551,27.0203,,27.0191,,,,,,,0.0000E+00,,8.1308E-02,,5.9904,5.9907,0.8535,110.143,2.971,3.076,,,,,,,,,,,,
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:25,21-Mar-2025 16:34:25,32.18168,-118.89524,093.3 050.0,093.3,050.0,509.000,513.215,,6.0364,,6.0364,,6.0364,34.3245,,34.3239,34.3233,,34.3206,34.3223,0.2060,,0.3587,0.4424,0.2124,,0.3504,0.4332,0.4378,8.956,15.6944,17.6321,9.235,22.0765,17.2672,17.4497,0.0366,,,,3.8455,,0.0000,39.555,27.0199,,27.0190,,,,,,,0.0000E+00,,7.8416E-02,,5.9915,5.9915,0.8535,110.160,2.970,3.063,,,,,,,,,,,,
CalCOFI,2504SH,009,,2504_009u,22-Mar-2025 00:34:26,21-Mar-2025 16:34:26,32.18168,-118.89524,093.3 050.0,093.3,050.0,508.000,512.205,,6.0376,,6.0379,,6.0378,34.3247,,34.3241,34.3232,,34.3205,34.3223,0.2059,,0.3586,0.4423,0.2102,,0.3481,0.4309,0.4366,8.955,15.6934,17.6311,9.143,22.0755,17.1709,17.4010,0.0366,,,,3.8459,,0.0000,39.560,27.0199,,27.0187,,,,,,,0.0000E+00,,8.2602E-02,,5.9928,5.9931,0.8535,110.151,2.970,3.032,,,,,,,,,,,,
