Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:02,10-Apr-2025 21:16:02,34.88554,-121.20476,076.7 055.0,076.7,055.0,516.000,520.401,,6.0232,,6.0245,,6.0239,34.2772,,34.2766,34.2744,,34.2717,34.2742,0.3156,,0.4697,0.3901,0.3192,,0.4617,0.3911,0.3906,13.723,20.5300,30.6216,13.883,27.1230,30.6593,30.6405,0.0366,,,,3.8168,,0.0000,38.911,26.9843,,26.9819,,,,,,,0.0000E+00,,4.6092E-02,,5.9777,5.9791,0.8235,113.587,4.548,4.601,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:03,10-Apr-2025 21:16:03,34.88554,-121.20476,076.7 055.0,076.7,055.0,515.000,519.391,,6.0235,,6.0238,,6.0237,34.2772,,34.2766,34.2744,,34.2717,34.2742,0.3155,,0.4696,0.3900,0.3192,,0.4617,0.3911,0.3906,13.721,20.5280,30.6200,13.881,27.1209,30.6577,30.6389,0.0366,,,,3.8167,,0.0000,38.910,26.9843,,26.9820,,,,,,,0.0000E+00,,4.2819E-02,,5.9781,5.9785,0.8235,113.580,4.548,4.601,515,6.024,34.2775,0.364,15.83,,,38.94,0.015,0.00,3.05,78.44
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:30,10-Apr-2025 21:16:30,34.88551,-121.20493,076.7 055.0,076.7,055.0,514.000,518.382,,6.0262,,6.0261,,6.0262,34.2769,,34.2763,34.2739,,34.2712,34.2738,0.3155,,0.4696,0.3900,0.3192,,0.4617,0.3911,0.3906,13.719,20.5260,30.6183,13.879,27.1188,30.6560,30.6372,0.0374,,,,3.8108,,0.0000,38.839,26.9836,,26.9813,,,,,,,0.0000E+00,,3.7380E-02,,5.9810,5.9808,0.8261,113.629,4.547,4.600,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:46,10-Apr-2025 21:16:46,34.88550,-121.20502,076.7 055.0,076.7,055.0,513.000,517.372,,6.0279,,6.0277,,6.0278,34.2762,,34.2756,34.2733,,34.2706,34.2731,0.3154,,0.4695,0.3899,0.3191,,0.4616,0.3910,0.3905,13.716,20.5229,30.6159,13.877,27.1156,30.6543,30.6351,0.0367,,,,3.8087,,0.0000,38.814,26.9829,,26.9806,,,,,,,0.0000E+00,,3.7237E-02,,5.9827,5.9825,0.8278,113.689,4.546,4.600,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:47,10-Apr-2025 21:16:47,34.88550,-121.20502,076.7 055.0,076.7,055.0,512.000,516.362,,6.0292,,6.0293,,6.0293,34.2757,,34.2751,34.2728,,34.2701,34.2726,0.3154,,0.4695,0.3899,0.3205,,0.4631,0.3924,0.3912,13.714,20.5209,30.6143,13.938,27.1135,30.7051,30.6597,0.0355,,,,3.8097,,0.0000,38.826,26.9823,,26.9800,,,,,,,0.0000E+00,,3.7137E-02,,5.9841,5.9842,0.8278,113.730,4.546,4.620,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:48,10-Apr-2025 21:16:48,34.88550,-121.20504,076.7 055.0,076.7,055.0,511.000,515.352,,6.0298,,6.0298,,6.0298,34.2756,,34.2750,34.2727,,34.2700,34.2725,0.3153,,0.4694,0.3898,0.3277,,0.4706,0.4001,0.3950,13.712,20.5189,30.6127,14.252,27.1114,30.9662,30.7895,0.0364,,,,3.8103,,0.0000,38.833,26.9822,,26.9799,,,,,,,0.0000E+00,,3.8433E-02,,5.9848,5.9848,0.8278,113.727,4.545,4.724,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:49,10-Apr-2025 21:16:49,34.88550,-121.20504,076.7 055.0,076.7,055.0,510.000,514.343,,6.0334,,6.0337,,6.0336,34.2753,,34.2747,34.2722,,34.2695,34.2721,0.3234,,0.4776,0.3981,0.3271,,0.4700,0.3994,0.3988,14.062,20.8739,30.8953,14.224,27.4819,30.9429,30.9191,0.0366,,,,3.8109,,0.0000,38.841,26.9814,,26.9790,,,,,,,0.0000E+00,,3.6600E-02,,5.9885,5.9888,0.8278,113.789,4.662,4.715,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:50,10-Apr-2025 21:16:50,34.88550,-121.20504,076.7 055.0,076.7,055.0,509.000,513.333,,6.0397,,6.0396,,6.0397,34.2745,,34.2739,34.2715,,34.2688,34.2714,0.3294,,0.4836,0.4043,0.3253,,0.4681,0.3975,0.4009,14.326,21.1417,31.1085,14.144,27.7614,30.8764,30.9925,0.0366,,,,3.8118,,0.0000,38.851,26.9800,,26.9777,,,,,,,0.0000E+00,,3.8335E-02,,5.9948,5.9947,0.8278,113.914,4.750,4.690,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:51,10-Apr-2025 21:16:51,34.88550,-121.20504,076.7 055.0,076.7,055.0,508.000,512.323,,6.0426,,6.0425,,6.0426,34.2742,,34.2736,34.2711,,34.2684,34.2710,0.3204,,0.4745,0.3951,0.3265,,0.4693,0.3988,0.3970,13.931,20.7410,30.7895,14.198,27.3432,30.9213,30.8554,0.0356,,,,3.8128,,0.0000,38.863,26.9794,,26.9769,,,,,,,0.0000E+00,,4.0166E-02,,5.9978,5.9977,0.8278,113.962,4.619,4.708,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:52,10-Apr-2025 21:16:52,34.88550,-121.20506,076.7 055.0,076.7,055.0,507.000,511.313,,6.0473,,6.0487,,6.0480,34.2741,,34.2735,34.2708,,34.2681,34.2708,0.3216,,0.4757,0.3963,0.3299,,0.4729,0.4024,0.3994,13.984,20.7948,30.8323,14.344,27.3993,31.0427,30.9375,0.0354,,,,3.8138,,0.0000,38.875,26.9787,,26.9760,,,,,,,0.0000E+00,,3.9691E-02,,6.0026,6.0040,0.8278,114.017,4.637,4.757,,,,,,,,,,,,
CalCOFI,2504SH,079,,2504_079u,11-Apr-2025 05:16:53,10-Apr-2025 21:16:53,34.88550,-121.20506,076.7 055.0,076.7,055.0,506.000,510.304,,6.0539,,6.0543,,6.0541,34.2734,,34.2728,34.2700,,34.2673,34.2701,0.3335,,0.4878,0.4085,0.3299,,0.4729,0.4024,0.4055,14.504,21.3223,31.2522,14.345,27.9498,31.0436,31.1479,0.0362,,,,3.8145,,0.0000,38.883,26.9773,,26.9746,,,,,,,0.0000E+00,,3.9469E-02,,6.0092,6.0096,0.8278,114.148,4.810,4.758,,,,,,,,,,,,
