Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:35:18,17-Apr-2025 09:35:18,36.04338,-125.34620,063.3 090.0,063.3,090.0,518.000,522.474,,6.1984,,6.1997,,6.1991,34.2152,,34.2146,34.2124,,34.2097,34.2122,0.4360,,0.5916,0.5640,0.4250,,0.5720,0.5587,0.5614,18.960,25.8424,25.0945,18.485,32.6671,24.8407,24.9676,0.0358,,,,0.8977,,0.0000,39.738,26.9132,,26.9108,,,,,,,0.0000E+00,,1.0711E-01,,6.1521,6.1534,1.0587,120.522,6.307,6.149,,,,,,,,,,,,
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:35:19,17-Apr-2025 09:35:19,36.04340,-125.34620,063.3 090.0,063.3,090.0,517.000,521.464,,6.2065,,6.2119,,6.2092,34.2146,,34.2140,34.2110,,34.2083,34.2112,0.4358,,0.5914,0.5638,0.4247,,0.5717,0.5584,0.5611,18.954,25.8363,25.0884,18.470,32.6607,24.8250,24.9567,0.0366,,,,0.8979,,0.0000,39.750,26.9116,,26.9081,,,,,,,0.0000E+00,,1.0642E-01,,6.1602,6.1656,1.0587,120.659,6.306,6.145,,,,,,,,,,,,
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:35:20,17-Apr-2025 09:35:20,36.04340,-125.34620,063.3 090.0,063.3,090.0,516.000,520.454,,6.1997,,6.2058,,6.2028,34.2154,,34.2148,34.2123,,34.2096,34.2122,0.4359,,0.5915,0.5639,0.4204,,0.5672,0.5539,0.5589,18.954,25.8363,25.0884,18.285,32.6607,24.6311,24.8598,0.0366,,,,0.8980,,0.0000,39.756,26.9131,,26.9099,,,,,,,0.0000E+00,,1.0978E-01,,6.1536,6.1597,1.0587,120.499,6.305,6.083,516,6.200,34.2136,0.525,22.83,,,40.09,0.008,0.00,3.06,68.78
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:35:21,17-Apr-2025 09:35:21,36.04338,-125.34620,063.3 090.0,063.3,090.0,515.000,519.444,,6.2083,,6.2115,,6.2099,34.2146,,34.2140,34.2113,,34.2086,34.2113,0.4357,,0.5913,0.5637,0.4187,,0.5654,0.5521,0.5579,18.948,25.8303,25.0823,18.209,32.6544,24.5514,24.8169,0.0358,,,,0.8982,,0.0000,39.768,26.9114,,26.9084,,,,,,,0.0000E+00,,1.0887E-01,,6.1622,6.1655,1.0587,120.655,6.304,6.059,,,,,,,,,,,,
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:35:51,17-Apr-2025 09:35:51,36.04333,-125.34633,063.3 090.0,063.3,090.0,514.000,518.434,,6.2074,,6.2080,,6.2077,34.2149,,34.2143,34.2112,,34.2085,34.2114,0.4311,,0.5867,0.5590,0.4204,,0.5672,0.5539,0.5565,18.746,25.6253,24.8772,18.283,32.4405,24.6290,24.7531,0.0365,,,,0.8971,,0.0000,39.702,26.9117,,26.9087,,,,,,,0.0000E+00,,1.0180E-01,,6.1615,6.1621,1.0652,120.611,6.237,6.083,,,,,,,,,,,,
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:36:19,17-Apr-2025 09:36:19,36.04329,-125.34646,063.3 090.0,063.3,090.0,513.000,517.424,,6.2099,,6.2064,,6.2082,34.2147,,34.2141,34.2107,,34.2080,34.2111,0.4407,,0.5964,0.5687,0.4191,,0.5658,0.5525,0.5606,19.165,26.0504,25.3026,18.228,32.8841,24.5713,24.9370,0.0366,,,,0.8958,,0.0000,39.624,26.9112,,26.9085,,,,,,,0.0000E+00,,9.3582E-02,,6.1641,6.1606,1.0709,120.648,6.376,6.064,,,,,,,,,,,,
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:36:16,17-Apr-2025 09:36:16,36.04330,-125.34644,063.3 090.0,063.3,090.0,512.000,516.414,,6.2147,,6.2154,,6.2151,34.2145,,34.2139,34.2105,,34.2078,34.2109,0.4356,,0.5912,0.5636,0.4251,,0.5721,0.5588,0.5612,18.942,25.8242,25.0762,18.489,32.6480,24.8449,24.9606,0.0366,,,,0.8953,,0.0000,39.595,26.9104,,26.9072,,,,,,,0.0000E+00,,9.3827E-02,,6.1689,6.1697,1.0700,120.712,6.303,6.152,,,,,,,,,,,,
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:36:17,17-Apr-2025 09:36:17,36.04330,-125.34644,063.3 090.0,063.3,090.0,511.000,515.404,,6.2174,,6.2174,,6.2174,34.2144,,34.2138,34.2102,,34.2075,34.2107,0.4364,,0.5920,0.5644,0.4247,,0.5717,0.5584,0.5614,18.977,25.8597,25.1117,18.471,32.6851,24.8260,24.9689,0.0366,,,,0.8950,,0.0000,39.577,26.9100,,26.9067,,,,,,,0.0000E+00,,9.4427E-02,,6.1717,6.1717,1.0700,120.745,6.315,6.146,,,,,,,,,,,,
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:36:17,17-Apr-2025 09:36:17,36.04330,-125.34644,063.3 090.0,063.3,090.0,510.000,514.395,,6.2193,,6.2193,,6.2193,34.2143,,34.2137,34.2101,,34.2074,34.2106,0.4366,,0.5922,0.5646,0.4295,,0.5767,0.5634,0.5640,18.988,25.8708,25.1229,18.678,32.6967,25.0429,25.0829,0.0359,,,,0.8947,,0.0000,39.559,26.9096,,26.9064,,,,,,,0.0000E+00,,9.2228E-02,,6.1737,6.1737,1.0700,120.763,6.319,6.216,,,,,,,,,,,,
CalCOFI,2504SH,111,,2504_111u,17-Apr-2025 17:36:18,17-Apr-2025 09:36:18,36.04332,-125.34644,063.3 090.0,063.3,090.0,509.000,513.385,,6.2207,,6.2205,,6.2206,34.2142,,34.2136,34.2101,,34.2074,34.2105,0.4360,,0.5916,0.5640,0.4277,,0.5748,0.5616,0.5628,18.961,25.8434,25.0955,18.601,32.6681,24.9622,25.0289,0.0354,,,,0.8945,,0.0000,39.547,26.9094,,26.9062,,,,,,,0.0000E+00,,9.2956E-02,,6.1752,6.1750,1.0700,120.775,6.310,6.190,,,,,,,,,,,,
