Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:23,30-Mar-2025 10:01:23,33.81955,-118.62436,086.7 035.0,086.7,035.0,519.000,523.383,,6.6937,,6.6935,,6.6936,34.2778,,34.2772,34.2758,,34.2731,34.2752,0.3599,,0.5145,0.4432,0.3626,,0.5070,0.4549,0.4491,15.653,22.4878,31.9642,15.773,29.1662,32.1812,32.0727,0.0367,,,,3.6135,,0.0000,37.185,26.8980,,26.8964,,,,,,,0.0000E+00,,6.0963E-02,,6.6452,6.6451,0.8616,122.580,5.269,5.309,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:34,30-Mar-2025 10:01:34,33.81953,-118.62436,086.7 035.0,086.7,035.0,518.000,522.373,,6.6926,,6.6929,,6.6928,34.2781,,34.2775,34.2758,,34.2731,34.2753,0.3567,,0.5113,0.4399,0.3625,,0.5069,0.4548,0.4474,15.514,22.3468,31.8546,15.766,29.0190,32.1755,32.0151,0.0364,,,,3.6203,,0.0000,37.265,26.8984,,26.8965,,,,,,,0.0000E+00,,6.0555E-02,,6.6443,6.6446,0.8625,122.529,5.222,5.307,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:38,30-Mar-2025 10:01:38,33.81952,-118.62436,086.7 035.0,086.7,035.0,517.000,521.363,,6.6925,,6.6925,,6.6925,34.2780,,34.2774,34.2758,,34.2731,34.2753,0.3618,,0.5165,0.4451,0.3626,,0.5070,0.4549,0.4500,15.734,22.5700,32.0280,15.768,29.2519,32.1771,32.1026,0.0357,,,,3.6163,,0.0000,37.218,26.8982,,26.8966,,,,,,,0.0000E+00,,5.7263E-02,,6.6443,6.6443,0.8628,122.527,5.296,5.307,517,6.693,34.2798,0.451,19.61,,,37.12,0.012,0.00,2.92,68.83
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:39,30-Mar-2025 10:01:39,33.81952,-118.62434,086.7 035.0,086.7,035.0,516.000,520.354,,6.6930,,6.6928,,6.6929,34.2776,,34.2770,34.2756,,34.2729,34.2750,0.3634,,0.5181,0.4468,0.3625,,0.5069,0.4548,0.4508,15.805,22.6420,32.0840,15.766,29.3271,32.1755,32.1298,0.0366,,,,3.6133,,0.0000,37.183,26.8979,,26.8964,,,,,,,0.0000E+00,,5.7430E-02,,6.6449,6.6447,0.8628,122.547,5.320,5.307,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:40,30-Mar-2025 10:01:40,33.81951,-118.62436,086.7 035.0,086.7,035.0,515.000,519.344,,6.6940,,6.6933,,6.6937,34.2770,,34.2764,34.2753,,34.2726,34.2745,0.3669,,0.5216,0.4504,0.3626,,0.5070,0.4549,0.4527,15.955,22.7942,32.2023,15.769,29.4859,32.1779,32.1901,0.0366,,,,3.6102,,0.0000,37.146,26.8972,,26.8961,,,,,,,0.0000E+00,,5.8448E-02,,6.6460,6.6453,0.8628,122.592,5.370,5.308,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:41,30-Mar-2025 10:01:41,33.81950,-118.62436,086.7 035.0,086.7,035.0,514.000,518.334,,6.6950,,6.6949,,6.6950,34.2761,,34.2755,34.2741,,34.2714,34.2735,0.3620,,0.5167,0.4453,0.3662,,0.5107,0.4587,0.4520,15.745,22.5811,32.0367,15.928,29.2636,32.3066,32.1717,0.0366,,,,3.6081,,0.0000,37.121,26.8964,,26.8949,,,,,,,0.0000E+00,,6.1378E-02,,6.6471,6.6470,0.8628,122.655,5.300,5.361,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:42,30-Mar-2025 10:01:42,33.81950,-118.62436,086.7 035.0,086.7,035.0,513.000,517.324,,6.6940,,6.6938,,6.6939,34.2757,,34.2751,34.2735,,34.2708,34.2730,0.3620,,0.5167,0.4453,0.3690,,0.5136,0.4617,0.4535,15.741,22.5771,32.0335,16.049,29.2593,32.4046,32.2191,0.0366,,,,3.6063,,0.0000,37.100,26.8962,,26.8945,,,,,,,0.0000E+00,,6.1168E-02,,6.6462,6.6460,0.8628,122.661,5.299,5.402,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:43,30-Mar-2025 10:01:43,33.81950,-118.62434,086.7 035.0,086.7,035.0,512.000,516.315,,6.6952,,6.6948,,6.6950,34.2752,,34.2746,34.2732,,34.2705,34.2726,0.3619,,0.5166,0.4452,0.3676,,0.5122,0.4602,0.4527,15.739,22.5750,32.0320,15.985,29.2572,32.3528,32.1924,0.0362,,,,3.6037,,0.0000,37.070,26.8957,,26.8941,,,,,,,0.0000E+00,,5.7202E-02,,6.6475,6.6471,0.8628,122.696,5.298,5.381,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:44,30-Mar-2025 10:01:44,33.81950,-118.62434,086.7 035.0,086.7,035.0,511.000,515.305,,6.6983,,6.6977,,6.6980,34.2750,,34.2744,34.2727,,34.2700,34.2722,0.3618,,0.5165,0.4451,0.3683,,0.5129,0.4609,0.4530,15.736,22.5720,32.0296,16.018,29.2540,32.3795,32.2046,0.0355,,,,3.6004,,0.0000,37.031,26.8951,,26.8934,,,,,,,0.0000E+00,,5.9014E-02,,6.6507,6.6501,0.8628,122.742,5.297,5.392,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:45,30-Mar-2025 10:01:45,33.81950,-118.62436,086.7 035.0,086.7,035.0,510.000,514.295,,6.7022,,6.7017,,6.7020,34.2748,,34.2742,34.2726,,34.2699,34.2721,0.3617,,0.5164,0.4450,0.3677,,0.5123,0.4603,0.4527,15.732,22.5679,32.0264,15.993,29.2498,32.3593,32.1929,0.0366,,,,3.5964,,0.0000,36.984,26.8943,,26.8927,,,,,,,0.0000E+00,,6.0415E-02,,6.6547,6.6541,0.8628,122.798,5.296,5.384,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053u,30-Mar-2025 18:01:46,30-Mar-2025 10:01:46,33.81950,-118.62436,086.7 035.0,086.7,035.0,509.000,513.286,,6.7052,,6.7051,,6.7052,34.2749,,34.2743,34.2725,,34.2698,34.2721,0.3686,,0.5234,0.4521,0.3729,,0.5177,0.4658,0.4590,16.032,22.8723,32.2630,16.217,29.5674,32.5406,32.4018,0.0366,,,,3.5918,,0.0000,36.929,26.8941,,26.8921,,,,,,,0.0000E+00,,5.9093E-02,,6.6577,6.6577,0.8628,122.813,5.398,5.460,,,,,,,,,,,,
