Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:13,30-Mar-2025 09:49:13,33.82153,-118.62619,086.7 035.0,086.7,035.0,2.000,2.015,,13.8820,,13.8852,,13.8836,33.4301,,33.4295,33.4276,,33.4249,33.4272,5.7702,,5.9946,5.9737,5.7044,,6.0737,6.0215,5.9976,251.412,261.6417,218.4905,248.547,278.7472,220.2328,219.3617,0.1304,,0.7450,0.5152,0.5578,,3.0990,2.604,24.9986,,24.9960,,,,,,,0.0000E+00,,1.6786E+01,,13.8818,13.8850,-0.0021,294.968,98.156,97.042,2,13.863,33.4358,6.077,264.78,0.686,0.303,2.87,0.049,0.42,0.49,2.11
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:26,30-Mar-2025 09:49:26,33.82151,-118.62613,086.7 035.0,086.7,035.0,3.000,3.022,,13.8847,,13.8852,,13.8850,33.4298,,33.4292,33.4278,,33.4251,33.4272,5.7993,,6.0241,6.0035,5.7060,,6.0753,6.0232,6.0134,252.679,262.9270,219.4965,248.614,280.0885,220.2872,219.8919,0.1309,,0.7498,0.5180,0.6517,,3.0990,3.680,24.9978,,24.9961,,,,,,,0.0000E+00,,1.3502E+01,,13.8842,13.8848,0.0026,295.066,98.656,97.069,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:36,30-Mar-2025 09:49:36,33.82148,-118.62610,086.7 035.0,086.7,035.0,4.000,4.029,,13.8912,,13.8879,,13.8896,33.4300,,33.4294,33.4279,,33.4252,33.4273,5.8342,,6.0595,6.0393,5.6988,,6.0678,6.0156,6.0275,254.200,264.4699,220.7043,248.302,281.6987,220.0339,220.3691,0.1322,,0.7626,0.5252,0.6542,,3.0990,3.709,24.9967,,24.9957,,,,,,,0.0000E+00,,1.1510E+01,,13.8906,13.8873,0.0077,295.204,99.263,96.952,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:40,30-Mar-2025 09:49:40,33.82148,-118.62609,086.7 035.0,086.7,035.0,5.000,5.036,,13.8956,,13.8982,,13.8969,33.4300,,33.4294,33.4276,,33.4249,33.4272,5.8574,,6.0830,6.0631,5.6899,,6.0585,6.0063,6.0347,255.213,265.4975,221.5086,247.913,282.7711,219.7180,220.6133,0.1292,,0.7333,0.5085,0.6539,,3.0990,3.705,24.9958,,24.9933,,,,,,,0.0000E+00,,9.3555E+00,,13.8948,13.8975,0.0109,295.318,99.667,96.820,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:42,30-Mar-2025 09:49:42,33.82148,-118.62608,086.7 035.0,086.7,035.0,6.000,6.043,,13.9219,,13.9185,,13.9202,33.4308,,33.4302,33.4283,,33.4256,33.4279,5.8707,,6.0964,6.0768,5.6940,,6.0628,6.0106,6.0437,255.794,266.0868,221.9700,248.096,283.3861,219.8666,220.9183,0.1293,,0.7343,0.5090,0.6557,,3.0990,3.726,24.9909,,24.9897,,,,,,,0.0000E+00,,8.5566E+00,,13.9211,13.9177,0.0140,295.808,99.948,96.932,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:43,30-Mar-2025 09:49:43,33.82148,-118.62606,086.7 035.0,086.7,035.0,7.000,7.050,,13.8781,,13.8868,,13.8825,33.4288,,33.4282,33.4268,,33.4241,33.4262,5.8674,,6.0931,6.0734,5.7077,,6.0771,6.0250,6.0492,255.649,265.9397,221.8548,248.690,283.2326,220.3490,221.1019,0.1326,,0.7665,0.5274,0.6566,,3.0990,3.736,24.9985,,24.9951,,,,,,,0.0000E+00,,7.1307E+00,,13.8771,13.8858,0.0170,295.114,99.802,97.101,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:46,30-Mar-2025 09:49:46,33.82148,-118.62607,086.7 035.0,086.7,035.0,8.000,8.057,,13.8666,,13.8740,,13.8703,33.4291,,33.4285,33.4276,,33.4249,33.4267,5.8477,,6.0731,6.0532,5.6793,,6.0475,5.9952,6.0242,254.787,265.0653,221.1703,247.451,282.3201,219.3429,220.2566,0.1433,,0.8748,0.5876,0.6592,,3.0990,3.766,25.0011,,24.9984,,,,,,,0.0000E+00,,6.2982E+00,,13.8654,13.8728,0.0200,294.891,99.442,96.592,,,,,,,,,,,,
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:48,30-Mar-2025 09:49:48,33.82146,-118.62606,086.7 035.0,086.7,035.0,9.000,9.065,,13.8332,,13.8380,,13.8356,33.4291,,33.4285,33.4281,,33.4254,33.4270,5.8312,,6.0564,6.0362,5.6853,,6.0538,6.0015,6.0189,254.067,264.3350,220.5986,247.709,281.5579,219.5524,220.0755,0.1496,,0.9414,0.6234,0.6619,,3.0990,3.797,25.0080,,25.0063,,,,,,,0.0000E+00,,5.6206E+00,,13.8320,13.8368,0.0230,294.263,99.095,96.624,9,13.840,33.4356,,264.73,0.743,0.220,2.80,0.048,0.39,0.48,2.06
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:49,30-Mar-2025 09:49:49,33.82146,-118.62604,086.7 035.0,086.7,035.0,10.000,10.072,,13.8239,,13.8254,,13.8247,33.4303,,33.4297,33.4290,,33.4263,33.4280,5.8098,,6.0347,6.0143,5.6923,,6.0610,6.0088,6.0116,253.134,263.3885,219.8578,248.015,280.5702,219.8009,219.8294,0.1563,,1.0145,0.6618,0.6642,,3.0990,3.823,25.0109,,25.0096,,,,,,,0.0000E+00,,5.0976E+00,,13.8225,13.8240,0.0259,294.015,98.713,96.719,10,13.816,33.4386,, ,,,,,,,
CalCOFI,2504SH,053,,2504_053d,30-Mar-2025 17:49:51,30-Mar-2025 09:49:51,33.82146,-118.62604,086.7 035.0,086.7,035.0,11.000,11.079,,13.8177,,13.8188,,13.8183,33.4309,,33.4303,33.4295,,33.4268,33.4286,5.8224,,6.0475,6.0272,5.6868,,6.0553,6.0031,6.0152,253.681,263.9434,220.2921,247.774,281.1492,219.6052,219.9487,0.1620,,1.0785,0.6947,0.6685,,3.0990,3.873,25.0127,,25.0114,,,,,,,0.0000E+00,,4.6349E+00,,13.8161,13.8173,0.0289,293.880,98.915,96.613,11,13.827,33.4409,6.061,264.08,0.852,0.111,2.86,0.049,0.39,0.49,2.09
